Museum_Name,Rating
"Museum of Discovery and Science",130.4
"Museum of Fine Arts",113.8
"Museum of Florida History",35.2
"Museum of Geology",41.8
"Museum of Glass",172.6
"Museum of History & Industry",105
"Museum of Idaho",34.2
"Museum of Indian Arts & Culture",102.4
"Museum of Jewish Heritage",36.8
"Museum of Jurassic Technology",27.6
"Museum of Life + Science",124.6
"Museum of Making Music",44
"Museum of Military History",23.2
"Museum of Native American History",143
"Museum of Natural and Cultural History",11
"Museum of Natural History",31.2
"Museum of Northern Arizona",70.4
"Museum of Ojibwa Culture",43.4
"Museum of Osteology",175
"Museum of Russian Icons",25.4
"Museum of Science and History",62.4
"Museum of Science and Industry",192.4
"Museum of Sex",102.2
"Museum of the Big Bend",43.8
"Museum of the Cherokee Indian",170.8
"Museum of the City of New York",94.2
"Museum of the Confederacy-Appomattox",31.8
"Museum of the Earth",20.8
"Museum of the Everglades",41
"Museum of the Great Plains",29.4
"Museum of the Mountain Man",26.4
"Museum of the Moving Image",69.6
"Museum of the Plains Indian",34
"Museum of the Rockies",192.8
"Museum of the Shenandoah Valley",64
"Museum of The Weird",24.6
"Museum of the West",12.8
"Museum of Transportation",49.6
"Museum of World Treasures",65.4
"Musicians Hall of Fame and Museum",53.4
"Mutter Museum",220.6
"Nantucket Shipwreck & Lifesaving Museum",21.4
"Naples Depot Museum",24.2
"Nasher Museum of Art at Duke University",33.2
"Nasher Sculpture Center",127
"Nassau County Museum of Art",16.8
"National Automobile Museum",206
"National Border Patrol Museum",24.6
"National Building Museum",88.6
"National Civil War Museum",131.4
"National Civil War Naval Museum",61.2
"National Corvette Museum",318.4
"National Cowboy & Western Heritage Museum",246.4
"National Cowgirl Museum and Hall of Fame",30.2
"National Cryptologic Museum",26.8
"National Czech & Slovak Museum & Library",40.8
"National Geographic Museum",98.6
"National Liberty Museum",17.4
"National Mining Hall of Fame & Museum",40.6
"National Mississippi River Museum & Aquarium",207
"National Motorcycle Museum",20
"National Museum of African Art",26.4
"National Museum of American Illustration",54.6
"National Museum of American Jewish History",147.4
"National Museum of Civil War Medicine",55
"National Museum of Funeral History",62.2
"National Museum of Mathematics",34.8
"National Museum of Mexican Art",23.8
"National Museum of the American Indian",64.8
"National Museum of the Great Lakes",29.8
"National Museum of the Marine Corps",144.2
"National Museum of the Mighty Eighth Air Force",123.4
"National Museum of the United States Navy",15
"National Museum of Wildlife Art",228
"National Museum of Women in the Arts",39.4
"National Museum of World War II Aviation",87.2
"National Mustard Museum",65.8
"National Postal Museum",114.8
"National Railroad Museum",52.8
"National Route 66 Museum",41
"National Underground Railroad Freedom Center",122.6
"National Watch and Clock Museum",35.4
"Natural History Museum of Los Angeles County",134.6
"Natural History Museum of Utah",156.2
"Nauticus National Maritime Center",116.6
"Naval Air Station Wildwood Aviation Museum",117.6
"Navy Seal Museum",131.4
"Negro Leagues Baseball Museum",123.2
"Neue Galerie",144
"Nevada Museum of Art",40.4
"Nevada Northern Railway Museum",43.4
"Nevada State Museum",50.2
"Nevada State Railroad Museum",36.8
"New Bedford Whaling Museum",85.2
"New Britain Museum of American Art",48.2
"New England Air Museum",37.4
"New Hampshire Boat Museum",11.2
"New Mexico Farm and Ranch Heritage Museum",48
"New Mexico History Museum",190
"New Mexico Museum of Art",75.8
"New Mexico Museum of Natural History and Science",115.4
"New Mexico Museum of Space History",67.2
"New Museum",24
"New Orleans Historic Voodoo Museum",64
"New Orleans Museum of Art",116
"New Orleans Pharmacy Museum",88
"New Smyrna Museum of History",20.2
"New York City Fire Museum",23.4
"New York State Museum",133.4
"New York Transit Museum",107.4
"New-York Historical Society Museum & Library",89
"Newark Museum",37.4
"Niagara Wax Museum of History",10.8
"Noguchi Museum",17.2
"North Carolina Maritime Museum",107.8
"North Carolina Museum of Art",223.4
"North Carolina Museum of History",102.8
"North Museum of Nature and Science",11.6
"Northeastern Nevada Museum",15
"Norton Museum of Art",93
"Norton Simon Museum",156
"NRA National Firearms Museum",51.6
"NSU Art Museum",42.4
"Oakland Museum of California",83.4
"Ocean City Life-Saving Station Museum",49
"Ocean Star Offshore Drilling Rig & Museum",109.4
"Ogden Museum of Southern Art",81.6
"Ogunquit Museum of American Art",59
"Ohr-O'Keefe Museum of Art",40.4
"Oklahoma City Museum of Art",95.8
"Oklahoma Railway Museum",8.6
"Oklahoma Route 66 Museum",42.4
"Old Montana Prison Complex",32.4
"Old Red Museum",47.2
"Old Sacramento",352
"Old Slave Mart Museum",139.8
"Omaha Children's Museum",67.4
"Oregon Historical Society Museum",48.8
"Oregon Museum of Science and Industry",227.6
"Oriental Institute Museum",73.6
"Original McDonald's Site and Museum",20.2
"Orlando Museum of Art",19.8
"Ouray County Museum",23.4
"Oz Museum",49.4
"Pacific Aviation Museum Pearl Harbor",177.8
"Pacific Science Center",206.2
"Pacific Tsunami Museum",65
"Palm Springs Air Museum",221.2
"Palm Springs Art Museum",195.8
"Palm Springs Art Museum in Palm Desert",25.2
"Panhandle-Plains Historical Museum",64.8
"Park City Museum",66.6
"Patee House Museum",57.2
"Patton Museum of Cavalry and Armor",31.4
"Peabody Essex Museum",258
"Peabody Museum of Archaeology and Ethnology",16.4
"Penn Museum",58.6
"Penrose Heritage Museum",17.2
"Pensacola Lighthouse and Museum",198.2
"Pensacola Naval Air Station",146.6
"Penske Racing Museum",35.8
"Perez Art Museum Miami",131.2
"Petersen Automotive Museum",172.8
"Peterson Air & Space Museum",18.4
"Philbrook Museum of Art",157.2
"Phoenix Art Museum",125
"Phoenix Police Museum",10.8
"Pierce-Arrow Museum",25.4
"Pilgrim Hall Museum",50.4
"Pilgrim Monument & Provincetown Museum",172.8
"Pin Point Heritage Museum",54
"Pink Palace Museum",85.4
"Please Touch Museum",195
"Pontiac-Oakland Automobile Museum",25.6
"Pony Express Museum",44.2
"Portland Art Museum",140.4
"Portland Children's Museum",51.2
"Portland Museum of Art",195
"Potter's Wax Museum",82
"Pratt Museum",53.6
"Princeton University Art Museum",82.8
"Pueblo Grande Museum",28.4
"Puget Sound Navy Museum",27.4
"R.E. Olds Transportation Museum",18
"Racine Art Museum",11.8
"Railroad Museum of Pennsylvania",132
"Ralph Foster Museum",48
"Reading Public Museum",31.4
"Revs Institute for Automotive Research, Inc.",45
"Reynolda House Museum of American Art",73.2
"Rhode Island School of Design Museum of Art",115.6
"Richard H. Driehaus Museum",172
"Richard Nixon Presidential Library and Museum",94.4
"Ripley's Believe It or Not! Odditorium",260.4
"Riverfront Museum",32.6
"Road To Tara Museum",24
"Rocky Statue",205.4
"Rodin Museum",153.8
"Rosa Parks Library and Museum",75.8
"Rosicrucian Egyptian Museum",98.6
"Roswell Museum & Art Center",41.4
"Route 66 Mother Road Museum",18.8
"Rubin Museum of Art",39.2
"RV/MH Hall of Fame and Museum",41.4
"Sacramento History Museum",15
"Saint Louis Art Museum",163.8
"Salem Witch Museum",324.4
"Salt and Pepper Shaker Museum",62.8
"Sam Noble Oklahoma Museum of Natural History",59.8
"Samuel P. Harn Museum of Art",33.4
"San Antonio Fire Museum",28.2
"San Antonio Museum of Art",106
"San Diego Air & Space Museum",81
"San Diego Automotive Museum",28.2
"San Diego Model Railroad Museum",60.8
"San Diego Museum of Art",30
"San Diego Museum of Man",42
"San Diego Natural History Museum",54.8
"San Francisco Museum of Modern Art (SFMOMA)",111
"San Francisco Railway Museum",12
"San Jose Museum of Art",22.2
"San Juan County Historical Society",14.8
"Sandwich Glass Museum",94.2
"Santa Barbara Maritime Museum",28.2
"Santa Barbara Museum of Art",57.6
"Santa Barbara Museum of Natural History",39
"Santa Cruz Surfing Museum",26.6
"Sarasota Classic Car Museum",56.2
"Savannah Children's Museum",14.2
"Savannah History Museum",57.2
"SCAD Museum of Art",28.8
"Science Museum of Minnesota",141.2
"Science Museum of Virginia",53.2
"Science Museum of Western Virginia & Hopkins Planetarium",11.8
"Science Museum Oklahoma",112.8
"Sea Glass Museum",36.4
"Seattle Art Museum",193.2
"Seattle Center",157.6
"Seattle Children's Museum",32.8
"Sedona Heritage Museum",20.6
"Selena Museum",32.2
"Senator John Heinz History Center",161.4
"Shangri La",116.2
"Sharlot Hall Museum",81.8
"Sharpsteen Museum",15.6
"Shelburne Museum",149.2
"Ships of the Sea Maritime Museum",95.6
"Silent Wings Museum",26.2
"Silver City Museum",28.6
"Simeone Foundation Automotive Museum",34.2
"Skagway Museum and Archives",25.4
"SKELETONS: Animals Unveiled",69.4
"Sky City Cultural Center & Haak'u Museum",137.6
"Smithsonian American Art Museum",164.2
"Smoki Museum",15
"Solomon R. Guggenheim Museum",406
"South Carolina State Museum",83
"South Dakota Air and Space Museum",103
"South Florida Museum and Bishop Planetarium",108.2
"South Florida Science Center and Aquarium",40.2
"Southern Museum of Civil War and Locomotive History",49
"Southern Museum of Flight",23.8
"Southwest Florida Military Museum & Library",25.4
"Southwest Florida Museum of History",25
"Spanish Military Hospital Museum",66.8
"Springfield Museums",57.2
"St. Petersburg Museum of History",22.4
"Stafford Air & Space Museum",19.4
"State Historical Museum",22.8
"State Museum of Pennsylvania",33
"Stax Museum of American Soul Music",238.2
"Sternberg Museum of Natural History",29.2
"Strasburg Rail Road",286.2
"Strategic Air Command & Aerospace Museum",63
"Strawbery Banke Museum",137.2
"Studebaker National Museum",66
"Stuhr Museum of the Prairie Pioneer",29.2
"Superstition Mountain Museum",42.4
"T.T. Wentworth Jr. Florida State Museum",17.2
"Tacoma Art Museum",32.6
"Taft Museum of Art",48.6
"Tallahassee Antique Car Museum",63.2
"Tallahassee Museum",90.8
"Tampa Bay History Center",70.8
"Tampa Museum of Art",44.2
"Tank Museum",23.8
"Tate Geological Museum",14.6
"Telfair Museums Telfair Academy",75.2
"Telluride Historical Museum",22.8
"Tellus Science Museum",78
"Temecula Museum",10.8
"Tennessee State Museum",103
"Terry Lee Wells Nevada Discovery Museum",29.6
"Texas Civil War Museum",44
"Texas Maritime Museum",24.8
"Texas Military Forces Museum",23.4
"Texas Prison Museum",29
"Texas Ranger Hall of Fame and Museum",90.6
"The Andy Griffith Museum",97.2
"The Aurora Ice Museum",107.4
"The Aviation Museum of Kentucky",16.2
"The Bailey-Matthews National Shell Museum",202.2
"The Baker Museum",12.8
"The Bakken Museum",14.4
"The Blanton Museum of Art",56.6
"The Broad",78.8
"The Bryan Museum",17.8
"The Buckhorn Saloon and Texas Ranger Museum",133.8
"The California Route 66 Museum",23.2
"The Children's Museum of Green Bay",13.6
"The Children's Museum of the Upstate",52.2
"The Clark Art Institute",174.2
"The Cummer Museum of Art and Gardens",147.4
"The Delta Blues Museum",67.6
"The DoSeum - San Antonio's Museum for Kids",70.2
"The Durham Museum",134.2
"The Eiteljorg Museum",116.6
"The El Paso Holocaust Museum",20.2
"The Grammy Museum",94.2
"The Haggin Museum",19.4
"The Health Museum",21.4
"The Hershey Story",222.2
"The History Museum",15.4
"The Hollywood Museum",85.2
"The Holocaust Museum & Education Center of Southwest Florida",32.4
"The Jewish Museum",45.8
"The Journey Museum & Learning Center",48.8
"The Leonardo Museum",29.4
"The Lightner Museum",328
"The Manassas Museum",18.6
"The Mariners' Museum & Park",108.2
"The Mark Twain House & Museum",183.6
"The Menil Collection",110.2
"The Mini Time Machine Museum of Miniatures",83.6
"The Money Museum",54.4
"The Money Museum at the Federal Reserve Bank - Denver Branch",36
"The Morgan Library & Museum",171.4
"The Museum @ Black Hills Institute",30.4
"The Museum at Bethel Woods",65.6
"The Museum of Contemporary Art",28.2
"The Museum of Russian Art",47.4
"The Museum of Western Art",44.2
"The National Atomic Testing Museum",188.6
"The National Museum of Nuclear Science & History",129.2
"The National Quilt Museum",103.4
"The Nethercutt Collection",94.6
"The Petroleum Museum",26.4
"The Phillips Collection",184
"The Presbytere",92
"The Putnam Museum & Science Center",30.2
"The Rockwell Museum",62.4
"The Saratoga Automobile Museum",36.6
"The Speed Art Museum",17
"The Submarine Force Museum",115.6
"The Tech Museum of Innovation",113.4
"The Walmart Museum",208.4
"The Walters Art Museum",201.4
"The Whale Museum",98
"The White House and Museum of the Confederacy",172.2
"The Wolfsonian - Florida International University",69.6
Thinkery,46.6
"Thomas A. Jaggar Museum",196
"Tillamook Air Museum",84
"Titan Missile Museum",155.4
"Toledo Museum of Art",147.2
"Tongass Historical Museum",16.4
"Tread of Pioneers Museum",17.6
"Tucson Museum of Art and Historic Block",30
"Tulsa Air and Space Museum",39.6
"Tupelo Automobile Museum",65.8
"Turquoise Museum",29.6
"Tybee Island Lighthouse Museum",322.8
"U.S. Air Force Space & Missile Museum",21
"U.S. Army Transportation Museum",28.8
"U.S. Veterans Memorial Museum",31.8
"U.S.S. Cairo Museum",167.8
"Union Pacific Railroad Museum",37.6
"Union Station",34.8
"University of Alaska Museum of the North",269.8
"University of Michigan Museum of Art",30.6
"University of Michigan Museum of Natural History",21.4
"University of Nebraska State Museum",21.8
"Upcountry History Museum",18.4
"US Army Museum of Hawaii",249.4
"USS Silversides Submarine Museum",36
"Utah State Railroad Museum",11.8
"Valiant Air Command Warbird Museum",40
"Vero Beach Museum of Art",60.8
Vesterheim,24
"Veterans Memorial Museum",64.2
"Villa Zorayda Museum",51.8
"Virginia Aviation Museum",12.8
"Virginia Holocaust Museum",51.8
"Virginia Living Museum",97.2
"Virginia Museum of Transportation",79.8
"Virginia War Museum",20.4
"Vulcan Park and Museum",150.4
"Wadsworth Atheneum Museum of Art",66.6
"Walton's Mountain Museum",32.2
"Warther Museum",53.2
"Washington County Museum of Fine Arts",18.8
"Washington State History Museum",30.8
"Weisman Art Museum",30.2
"Wells Fargo History Museum",17.8
"West Point Museum",53.4
"West Virginia State Museum",47.4
"Western Spirit: Scottsdale's Museum of the West",41.4
"Whaling Museum",184.6
"Wheels Through Time Transportation Museum",196
"Wheelwright Museum of the American Indian",49.6
"White Sands Missile Range",55.4
"Whitney Museum of American Art",300.8
"Wichita Art Museum",19
"Williams College Museum of Art",33.4
"Wilmington Railroad Museum",37.6
"Wing Luke Museum of the Asian Pacific American Experience",39.6
"Wings Over the Rockies Air & Space Museum",81.4
"Wisconsin Auto Museum",8.4
"Wisconsin Historical Museum",11.6
"Wisconsin Maritime Museum",60
"Wisconsin Veterans Museum",32.8
"Witch Dungeon Museum",86.2
"Witte Museum",55.4
"Woolaroc Museum & Wildlife Preserve",65.8
"Worcester Art Museum",78
"World Erotic Art Museum (WEAM)",41.6
"World of Chocolate Museum and Cafe",100.8
"World's Largest Toy Museum",81.4
"Wrangell Museum",16.8
"Wright Museum of WWII",34.4
"Wyoming State Museum",50.6
"Yale Peabody Museum of Natural History",71
"Yale University Art Gallery",108
"Zippo / Case Museum",41.6
"Zwaanendael Museum",20.6
